id,name,goals_avg,goals_sd,assists_avg,assists_sd,blocks_avg,blocks_sd,catches_avg,catches_sd,completions_avg,completions_sd,throwaways_avg,throwaways_sd,drops_avg,drops_sd,callahans_avg,callahans_sd
0,Anders Olsen (Atlanta),0.714285714,1.489892687,0.142857143,0.534522484,0,0,3.142857143,6.735179089,2.285714286,5.355494252,0.285714286,0.611249846,0.071428571,0.267261242,0,0
1,Austin Taylor (Atlanta),0.357142857,0.744946344,1.357142857,1.150728389,0.142857143,0.36313652,19.07142857,8.704236685,23.78571429,10.01674422,0.857142857,1.099450412,0.357142857,0.497245158,0,0
2,Allan Laviolette (Atlanta),0.285714286,0.468807231,0.5,0.940539943,0.142857143,0.36313652,3.5,5.747909319,3.642857143,6.00777884,0.285714286,0.611249846,0,0,0,0
3,Sam Batson (Atlanta),1.285714286,1.489892687,0,0,0.142857143,0.36313652,3.5,3.877945531,2,2.320477404,0.214285714,0.425815314,0,0,0,0
4,Mike Tillotson (Atlanta),0.214285714,0.425815314,0,0,0.142857143,0.36313652,0.785714286,1.42389344,0.571428571,1.342459609,0,0,0.071428571,0.267261242,0,0
5,Birdsong,0.142857143,0.36313652,0,0,0.142857143,0.36313652,1.571428571,3.227627986,1.428571429,2.901307019,0,0,0,0,0,0
6,Burgess,0,0,0,0,0,0,0.571428571,2.138089935,0.428571429,1.603567451,0.071428571,0.267261242,0,0,0,0
7,Josh Bush (Atlanta),1.785714286,1.311403912,0.928571429,0.997248963,0.785714286,0.801783726,10.35714286,4.516757565,8.071428571,4.084949594,0.714285714,0.825420306,0.142857143,0.36313652,0,0
8,Christian Olsen (Atlanta),1.285714286,1.437335753,2.142857143,1.460091823,0.642857143,1.008208072,22.28571429,10.64409241,21.07142857,10.53539299,1,1.109400392,0.214285714,0.425815314,0,0
9,Andrell Caldwell (Atlanta),0,0,0,0,0,0,0.714285714,2.672612419,0.714285714,2.672612419,0.142857143,0.534522484,0.071428571,0.267261242,0,0
10,Mason Cary (Atlanta),0.642857143,0.744946344,0.142857143,0.36313652,0,0,3.428571429,4.219265078,2.642857143,3.387922959,0.071428571,0.267261242,0.071428571,0.267261242,0,0
11,Crowe,0,0,0,0,0,0,0.571428571,1.869359648,0.571428571,1.869359648,0,0,0,0,0,0
12,Hunter Cutts (Atlanta),0.214285714,0.801783726,0,0,0,0,0.5,1.870828693,0.285714286,1.069044968,0,0,0,0,0,0
13,Danny On (Atlanta),0.642857143,0.841897386,0.642857143,0.744946344,0.071428571,0.267261242,6.928571429,5.060621514,6.357142857,4.651007217,0.142857143,0.36313652,0,0,0,0
14,Tyler French (Atlanta),0.857142857,1.167320591,0.214285714,0.578934224,0.357142857,0.841897386,2.285714286,3.220811446,1.428571429,2.376626106,0.071428571,0.267261242,0.071428571,0.267261242,0,0
15,Sam Gainer (Atlanta),0.571428571,0.755928946,0.785714286,0.801783726,0.071428571,0.267261242,7.071428571,5.703767793,7,5.574667979,0.642857143,0.633323694,0.071428571,0.267261242,0,0
16,Hunt,0.214285714,0.801783726,0.071428571,0.267261242,0.071428571,0.267261242,1.642857143,5.108170572,1.214285714,3.555679561,0.071428571,0.267261242,0.071428571,0.267261242,0,0
17,JP Burns (Atlanta),2.214285714,1.4769288,1.285714286,1.204387583,0.571428571,0.646206173,14.21428571,5.535599077,11.64285714,5.256602337,1,0.960768923,0.285714286,0.468807231,0,0
18,Jaime,0.214285714,0.425815314,0.214285714,0.578934224,0,0,2.5,4.238105527,2.357142857,3.835204194,0.071428571,0.267261242,0,0,0,0
19,Karl E,0.214285714,0.578934224,0,0,0.071428571,0.267261242,0.928571429,2.368520659,0.642857143,1.645840578,0.071428571,0.267261242,0,0,0,0
20,Kelvin Williams (Atlanta),1.5,1.344504484,0.142857143,0.36313652,1.285714286,1.728875643,4.285714286,2.643673768,2.857142857,1.703261255,0,0,0.071428571,0.267261242,0,0
21,Matthew Knowles (Atlanta),0.285714286,0.468807231,0.785714286,0.699293207,0.214285714,0.425815314,6.428571429,5.652967712,8.357142857,7.870169022,0.142857143,0.36313652,0,0,0,0
22,Kyle Stapleton (Atlanta),0.214285714,0.425815314,1.714285714,1.38278267,0.428571429,0.646206173,16.78571429,8.349837137,21.85714286,10.50902281,0.785714286,0.974961256,0,0,0,0
23,Matt Smith (Atlanta),2.142857143,1.703261255,2.071428571,1.491735474,0.5,0.759554525,22.71428571,7.965585318,21.21428571,7.402479537,0.5,0.518874522,0.142857143,0.36313652,0,0
24,Micah Jo,0,0,0.071428571,0.267261242,0,0,1.285714286,3.268228676,1.857142857,4.785509262,0.214285714,0.801783726,0.142857143,0.534522484,0,0
25,Taylor Minch (Atlanta),0.785714286,0.974961256,0.785714286,1.121713759,0.357142857,0.633323694,7.571428571,4.941415022,8.928571429,5.941565265,0.428571429,0.851630627,0.071428571,0.267261242,0,0
