player,goals,assists,blocks,catches,completions,throwaways,drops,callahans
A Olsen,1,1,0,9,1,1,0,0
A Taylor,0,0,1,26,25,2,1,0
Allan L,1,0,0,12,10,0,0,0
Batson,0,0,0,5,0,0,0,0
Big Mike,0,0,1,4,1,0,0,0
Birdsong,0,0,0,1,1,0,0,0
Burgess,0,0,0,1,3,0,0,0
Bush,1,0,2,16,10,1,1,0
C Olsen,0,3,2,33,38,2,0,0
Caldwell,0,0,0,3,1,0,0,0
Cary,0,1,0,3,1,0,1,0
Crowe,0,0,0,3,0,0,0,0
Cutts,0,0,0,2,1,0,0,0
Danny On,1,2,0,10,0,0,0,0
French,1,0,1,11,1,0,0,0
Gainer,0,0,0,2,9,0,0,0
Hunt,0,0,0,5,1,0,0,0
JP Burns,3,1,0,23,7,2,1,0
Jaime,1,0,0,4,4,0,0,0
Karl E,1,0,1,3,3,0,0,0
Kelvin,2,1,0,5,5,0,0,0
Knowles,1,1,0,7,9,0,0,0
Kyle S,0,3,1,26,31,1,0,0
Matt S,4,1,0,35,13,0,0,0
Micah Jo,0,0,0,4,5,1,1,0
Minch,2,1,1,14,13,1,0,0
Parker,2,1,0,39,10,8,0,0
Patrick,0,0,0,1,8,1,0,0
Perivier,0,1,0,7,15,1,0,0
Player,1,0,1,19,28,3,0,0
Rae,0,1,0,2,0,0,0,0
Rogers,0,1,1,7,2,0,0,0
Sperling,1,0,1,15,7,0,0,0
Sun,1,2,1,9,8,1,0,0
Thor,1,0,1,1,14,0,0,0
Trenton,1,2,1,7,6,1,1,0
Will L,3,1,2,2,4,0,1,0
Yusuf,0,1,0,1,4,0,0,0
A Davis,0,0,0,1,16,1,0,0
A Walch,1,0,0,20,12,0,0,0
ABrouwer,0,0,0,0,0,0,0,0
B Adams,1,0,0,8,2,0,0,0
B Gfroer,0,0,0,2,1,0,0,0
B Gramma,0,0,0,0,0,0,0,0
Bigley,0,0,0,2,8,1,0,0
C Brooks,0,0,0,1,0,1,0,0
C Cunnin,1,4,2,9,41,3,0,0
C Grimm,0,0,0,0,0,0,0,0
C Mika,0,0,1,0,1,0,0,0
C Vargas,0,1,0,7,7,1,0,0
D Richar,0,0,1,21,19,1,0,0
E Moore,2,0,1,5,4,1,0,0
EPollack,0,3,0,8,1,0,0,0
J Cecil,0,0,0,3,3,0,0,0
J Wolfe,0,3,1,2,1,0,0,0
J Zdrodo,1,1,0,3,3,2,0,0
JCecil,0,0,0,3,0,0,0,0
JHollera,0,0,0,2,0,0,0,0
JLoskorn,1,1,0,21,27,6,0,0
K Daftar,0,0,0,0,1,0,0,0
K Henke,0,0,0,13,3,3,0,0
K Thomas,0,1,0,15,5,1,0,0
Kamron D,1,0,0,2,0,0,0,0
